elapsed_ms,label,r,g,b
59809,rate_80,0,0,255
59825,rate_80,255,0,0
59843,rate_80,0,0,255
59859,rate_80,255,0,0
59876,rate_80,0,0,255
59892,rate_80,255,0,0
59909,rate_80,0,0,255
59927,rate_80,255,0,0
59945,rate_80,0,0,255
59962,rate_80,255,0,0
59978,rate_80,0,0,255
59995,rate_80,255,0,0
60013,rate_80,0,0,255
60029,rate_80,255,0,0
60046,rate_80,0,0,255
60062,rate_80,255,0,0
60079,rate_80,0,0,255
60095,rate_80,255,0,0
60111,rate_80,0,0,255
60128,rate_80,255,0,0
60145,rate_80,0,0,255
60162,rate_80,255,0,0
60178,rate_80,0,0,255
60194,rate_80,255,0,0
60211,rate_80,0,0,255
60227,rate_80,255,0,0
60243,rate_80,0,0,255
60261,rate_80,255,0,0
60278,rate_80,0,0,255
60295,rate_80,255,0,0
60311,rate_80,0,0,255
60329,rate_80,255,0,0
60345,rate_80,0,0,255
60362,rate_80,255,0,0
60381,rate_80,0,0,255
60398,rate_80,255,0,0
60414,rate_80,0,0,255
60430,rate_80,255,0,0
60456,rate_80,0,0,255
60473,rate_80,255,0,0
60489,rate_80,0,0,255
60506,rate_80,255,0,0
60523,rate_80,0,0,255
60539,rate_80,255,0,0
60556,rate_80,0,0,255
60573,rate_80,255,0,0
60589,rate_80,0,0,255
60606,rate_80,255,0,0
60624,rate_80,0,0,255
60647,rate_80,255,0,0
60664,rate_80,0,0,255
60681,rate_80,255,0,0
60699,rate_80,0,0,255
60715,rate_80,255,0,0
60733,rate_80,0,0,255
60750,rate_80,255,0,0
60767,rate_80,0,0,255
60793,rate_80,255,0,0
60812,rate_80,0,0,255
60830,rate_80,255,0,0
60846,rate_80,0,0,255
60863,rate_80,255,0,0
60879,rate_80,0,0,255
60896,rate_80,255,0,0
60913,rate_80,0,0,255
60929,rate_80,255,0,0
60946,rate_80,0,0,255
60963,rate_80,255,0,0
60980,rate_80,0,0,255
60996,rate_80,255,0,0
61013,rate_80,0,0,255
61029,rate_80,255,0,0
61046,rate_80,0,0,255
61063,rate_80,255,0,0
61080,rate_80,0,0,255
61097,rate_80,255,0,0
61118,rate_80,0,0,255
61135,rate_80,255,0,0
61152,rate_80,0,0,255
61168,rate_80,255,0,0
61185,rate_80,0,0,255
61204,rate_80,255,0,0
61220,rate_80,0,0,255
